kanji_char	word	reading	pos	en_gloss	frequency_rank	han_viet
下	下らない	くだらない	adj-i	trivial; trifling; insignificant; not worth bothering with; worthless; useless; good-for-nothing	5409	hạ
下	下り	くだり	n	down-train; train heading toward the ending point of its route	5410	hạ
下	下り坂	くだりざか	n	downhill; downward slope; descent	5411	hạ phẳng
下	下る	くだる	v5r	to descend; to go down; to come down	5412	hạ
下	下位	かい	n	low rank; lower position; subordinate position; lower order (e.g. byte)	5413	hạ vị
下	下院	かいん	n	lower house; lower legislative chamber	5414	hạ viện
下	下界	げかい	n	the earth below; the ground below	5416	hạ giới
下	下期	しもき	n	second half of the (fiscal) year	5417	hạ kì
何	何て	なんて	adj-f	how ...!; what ...!	5473	?
何	何と	なんと	adv	what; how	5474	?
何	何とか	なんとか	exp	something; something or other; so-and-so	5475	?
何	何という	なんという	exp	how (beautiful, etc.); what a ...	5476	?
何	何も	なにも	exp	(not) anything; (nothing) at all; (not) any; nothing	5477	?
何	何やら	なにやら	adv	something; some kind of	5478	?
何	何より	なにより	exp	above anything else; above all; more than anything	5479	?
何	何回	なんかい	n	how many times	5481	? hồi
何	何気なく	なにげなく	exp	unintentionally; calmly; inadvertently; innocently	5482	? ?
何	何とも	なんとも	adv	really; very; extremely; terribly; awfully	5483	?
何	何歳	なんさい	n	how old; what age	5484	? tuế
何	何事	なにごと	n	what; what sort of thing	5485	? sự
火	火事	かじ	n	fire; conflagration	5625	hoả sự
火	火種	ひだね	n	live coals (for firelighting)	5626	hoả chõng
火	火星	かせい	n	Mars (planet)	5627	hoả tinh
火	火葬	かそう	n	cremation	5628	hoả táng
火	火鉢	ひばち	n	brazier; hibachi	5629	hoả ?
火	火薬	かやく	n	gunpowder; powder	5630	hoả ?
火	火曜	かよう	n	Tuesday	5631	hoả ?
火	火力	かりょく	n	heating power; thermal power	5633	hoả lực
火	口火	くちび	n	fuse; pilot light	8451	khẩu hoả
火	山火事	やまかじ	n	forest fire; wildfire; bushfire	9354	sơn hoả sự
火	出火	しゅっか	n	outbreak of fire	10656	xuất hoả
火	消火	しょうか	n	extinguishing a fire; fire fighting	11064	tiêu hoả
花	花盛り	はなざかり	n	flowers in full bloom; time of year in which flowers are in full bloom	5647	hoa thịnh
花	花束	はなたば	n	bunch of flowers; bouquet	5648	hoa thút
花	花鳥	かちょう	n	flowers and birds	5649	hoa điểu
花	花瓶	かびん	n	(flower) vase	5651	hoa bình
花	花粉	かふん	n	pollen	5652	hoa phấn
花	花粉症	かふんしょう	n	hay fever; pollinosis (allergy to pollen)	5653	hoa phấn chứng
花	花婿	はなむこ	n	bridegroom	5654	hoa ?
花	花輪	はなわ	n	wreath; garland	5655	hoa luân
花	開花	かいか	n	flowering; blooming; blossoming; coming into bloom	5913	khai hoa
花	紫陽花	あじさい	n	bigleaf hydrangea (Hydrangea macrophylla); French hydrangea	9684	tía dương hoa
花	雌花	めばな	n	female flower; pistillate flower	9745	thư hoa
花	草花	くさばな	n	flower; flowering plant	12809	thảo hoa
会	会員	かいいん	n	member; the membership	5733	hội viên
会	会期	かいき	n	session (of a legislature)	5734	hội kì
会	会議	かいぎ	n	meeting; conference; session; assembly; council; convention; congress	5735	hội nghị
会	会議室	かいぎしつ	n	conference room; council room	5736	hội nghị thất
会	会計	かいけい	n	accounting; finance; account; reckoning	5737	hội kể
会	会計士	かいけいし	n	accountant	5738	hội kể sĩ
会	会合	かいごう	n	meeting; assembly; gathering	5741	hội hợp
会	会釈	えしゃく	n	slight bow (as a greeting or sign of gratitude); nod; salutation	5744	hội ?
会	会場	かいじょう	n	assembly hall; meeting place; venue; site; grounds	5745	hội trường
会	会心	かいしん	n	congeniality; satisfaction; gratification	5747	hội tâm
会	会則	かいそく	n	society regulations; club regulations; constitution	5748	hội tắc
会	会談	かいだん	n	talks (i.e. formal discussions); conference; meeting	5749	hội đàm
外	外	そと	n	outside; exterior	5948	ngoại
外	外す	はずす	v5s	to remove; to take off; to detach; to unfasten; to undo	5950	ngoại
外	外れ	はずれ	n	end; verge; extremity; tip; outskirts	5952	ngoại
外	外れる	はずれる	v1	to be disconnected; to get out of place; to be off; to be out (e.g. of gear)	5953	ngoại
外	外圧	がいあつ	n	external pressure; outside pressure; foreign pressure	5954	ngoại ?
外	外科	げか	n	surgery (branch of medicine)	5955	ngoại khoa
外	外科医	げかい	n	surgeon	5956	ngoại khoa ?
外	外貨	がいか	n	foreign currency; foreign money; foreign exchange	5957	ngoại hoá
外	外角	がいかく	n	external angle; exterior angle	5958	ngoại góc
外	外郭	がいかく	n	outer fence; outer enclosure; outer block	5959	ngoại quách
外	外郭団体	がいかくだんたい	n	auxiliary organization (organisation); extra-departmental body; fringe organization	5960	ngoại quách ? thể
外	外観	がいかん	n	outward appearance; exterior appearance; outward show; looks	5961	ngoại ?
学	科学技術庁	かがくぎじゅつちょう	n	Science and Technology Agency (1956-2001)	5588	khoa ? kĩ thuật ?
学	科学者	かがくしゃ	n	scientist	5589	khoa ? ?
学	科学的	かがくてき	adj-na	scientific	5590	khoa ? đích
学	解剖学	かいぼうがく	n	anatomy	5777	giải bo ?
学	学ぶ	まなぶ	v5b	to learn; to study; to take lessons in	6083	?
学	学位	がくい	n	(academic) degree	6084	? vị
学	学院	がくいん	n	institute; academy	6085	? viện
学	学園	がくえん	n	educational institution; school; academy; campus	6086	? viên
学	学科	がっか	n	subject (of study); course of study	6087	? khoa
学	学会	がっかい	n	learned society; scientific society; academy; academic meeting; academic conference	6088	? hội
学	学界	がっかい	n	academic world; academia; academic circles; scientific world; learned circles	6089	? giới
学	学割	がくわり	n	student discount	6090	? cắt
間	何時間	なんじかん	exp	how many hours	5491	? thì gian
間	夏時間	なつじかん	n	daylight saving time; daylight savings time; summer time	5545	? thì gian
間	間	あいだ	n	space (between); gap; interval; distance; stretch	6409	gian
間	間	ま	n	time; pause	6410	gian
間	間に合う	まにあう	v5u	to be in time (for)	6411	gian hợp
間	間もなく	まもなく	adv	soon; shortly; before long; in a short time; in a little while	6412	gian
間	間違い	まちがい	n	mistake; error; blunder	6413	gian vi
間	間違える	まちがえる	v1	to make a mistake (in); to commit an error; to get wrong; to do incorrectly	6414	gian vi
間	間一髪	かんいっぱつ	n	hair's breadth	6415	gian nhất ?
間	間隔	かんかく	n	space; interval	6416	gian cách
間	間近	まぢか	adj-na	near; close (to); nearby	6417	gian cận
間	間際	まぎわ	n	the point just before ...; the point of (doing); the verge (of); the eve (of)	6419	gian ?
気	英気	えいき	n	great wisdom; excellent disposition	5143	anh ?
気	何気なく	なにげなく	exp	unintentionally; calmly; inadvertently; innocently	5482	? ?
気	外気	がいき	n	open air	5962	ngoại ?
気	活気	かっき	n	energy; vigour; vigor; liveliness; spirit; life; animation	6158	hoạt ?
気	寒気	さむけ	n	chill; the shivers; shivering fit	6212	hàn ?
気	換気	かんき	n	ventilation	6301	? ?
気	換気扇	かんきせん	n	ventilation fan; extractor fan	6302	? ? phiến
気	気	き	n	spirit; mind; heart	6632	?
気	気のせい	きのせい	exp	(just) one's imagination	6634	?
気	気の毒	きのどく	adj-na	pitiful; unfortunate; poor; miserable; wretched	6635	? độc
気	気まま	きまま	adj-na	willful; wilful; selfish; self-centered; egoistic	6636	?
気	気圧	きあつ	n	atmospheric pressure; air pressure	6637	? ?
休	休める	やすめる	v1	to rest; to suspend; to give relief	6870	hưu
休	休暇	きゅうか	n	holiday; vacation; day off; time off; leave; furlough	6871	hưu hạ
休	休学	きゅうがく	n	temporary absence from school	6872	hưu ?
休	休刊	きゅうかん	n	suspension of publication	6873	hưu san
休	休業	きゅうぎょう	n	suspension of business; temporary closure (of a store, school, etc.); shutdown; holiday	6874	hưu nghiệp
休	休憩	きゅうけい	n	rest; break; recess; intermission	6875	hưu ?
休	休憩時間	きゅうけいじかん	n	rest period; intermission; break time; recess	6876	hưu ? thì gian
休	休憩所	きゅうけいじょ	n	rest area; rest stop; service area (next to a highway); service station; parking area	6877	hưu ? sỡ
休	休講	きゅうこう	n	cancellation (of a lecture, class, etc.)	6879	hưu giảng
休	休止	きゅうし	n	pause; suspension; rest; stoppage	6880	hưu chỉ
休	休場	きゅうじょう	n	(temporary) closure (of a theater, entertainment venue, etc.)	6881	hưu trường
休	休職	きゅうしょく	n	temporary retirement; leave of absence; suspension from office	6882	hưu chức
魚	金魚	きんぎょ	n	goldfish (Carassius auratus)	7341	kim ngư
魚	鮮魚	せんぎょ	n	fresh fish	12518	tiên ngư
魚	稚魚	ちぎょ	n	fry; juvenile fish; fingerling	13578	? ngư
魚	熱帯魚	ねったいぎょ	n	tropical fish	15060	nhiệt ? ngư
魚	魚	さかな	n	fish	18463	ngư
金	貴金属	ききんぞく	n	precious metal	6714	quý kim ?
金	義援金	ぎえんきん	n	donation money (esp. disaster relief or charity); contribution	6792	nghĩa viện kim
金	金	かね	n	money	7336	kim
金	金	きん	n	gold (metal)	7337	kim
金	金貨	きんか	n	gold coin	7338	kim hoá
金	金塊	きんかい	n	gold nugget; gold bullion; gold bar; gold ingot	7339	kim khối
金	金額	きんがく	n	amount of money; sum	7340	kim ngạch
金	金魚	きんぎょ	n	goldfish (Carassius auratus)	7341	kim ngư
金	金具	かなぐ	n	metal fittings; metal fixtures	7342	kim cụ
金	金庫	きんこ	n	safe; strongbox; cashbox; vault; strongroom	7343	kim kho
金	金持ち	かねもち	n	rich person; wealthy person	7344	kim trì
金	金星	きんせい	n	Venus (planet)	7345	kim tinh
九	九十	きゅうじゅう	num	ninety; 90	18472	cửu thập
九	一一九番	ひゃくじゅうきゅうばん	n	119 (ambulance and fire brigade emergency telephone number in Japan)	19537	nhất nhất cửu phan
九	千九百年代	せんきゅうひゃくねんだい	n	the 1900s	21479	thiên cửu bá nên đại
九	北九州	きたきゅうしゅう	n	Kitakyushu (city)	22081	? cửu châu
九	十九日	じゅうくにち	n	19th day of the month	22313	thập cửu nhật
九	二十九日	にじゅうくにち	n	29th day of the month	22332	nhì thập cửu nhật
空	空しい	むなしい	adj-i	empty; void; vacant	7433	không
空	空っぽ	からっぽ	adj-no	empty; vacant; hollow	7434	không
空	空間	くうかん	n	space; room; airspace	7435	không gian
空	空気	くうき	n	air; atmosphere	7436	không ?
空	空虚	くうきょ	n	emptiness; hollowness; vacancy; void	7437	không hư
空	空軍	くうぐん	n	air force	7438	không quân
空	空港	くうこう	n	airport	7439	không cảng
空	空手	からて	n	karate	7441	không thủ
空	空襲	くうしゅう	n	air-raid	7442	không tập
空	空席	くうせき	n	empty seat; unoccupied seat	7443	không ?
空	空疎	くうそ	adj-na	empty (e.g. argument); insubstantial; hollow; fruitless	7445	không ?
空	空想	くうそう	n	daydream; fantasy; fancy; vision	7446	không tưởng
月	月刊	げっかん	n	monthly publication; monthly issue	7776	nguyệt san
月	月間	げっかん	n	month-long period; month	7777	nguyệt gian
月	月給	げっきゅう	n	monthly salary	7778	nguyệt cấp
月	月経	げっけい	n	menstruation; menstrual period	7779	nguyệt ?
月	月見	つきみ	n	moon viewing (esp. during the eight month of the lunar calendar)	7780	nguyệt kiến
月	月光	げっこう	n	moonlight; moonbeam	7781	nguyệt quang
月	月謝	げっしゃ	n	monthly tuition fee	7782	nguyệt tạ
月	月収	げっしゅう	n	monthly income	7783	nguyệt ?
月	月初め	つきはじめ	n	beginning of the month	7784	nguyệt sơ
月	月食	げっしょく	n	lunar eclipse	7785	nguyệt ?
月	月日	つきひ	n	time; years; days; (one's) life	7786	nguyệt nhật
月	月賦	げっぷ	n	monthly installment (instalment); monthly payment	7787	nguyệt phú
見	記者会見	きしゃかいけん	n	press conference; news conference	6705	kí ? hội kiến
見	形見	かたみ	n	memento (esp. of a deceased person); keepsake; heirloom; remembrance; souvenir	7552	hình kiến
見	月見	つきみ	n	moon viewing (esp. during the eight month of the lunar calendar)	7780	nguyệt kiến
見	見出す	みいだす	v5s	to find out; to discover; to notice; to detect	7904	kiến xuất
見	見える	みえる	v1	to be seen; to be visible; to be in sight	7905	kiến
見	見せびらかす	みせびらかす	v5s	to show off; to flaunt	7906	kiến
見	見せる	みせる	v1	to show; to display	7907	kiến
見	見せ掛け	みせかけ	n	seeming; pose; show; pretense; sham; mock	7908	kiến quẩy
見	見る	みる	v1	to see; to look; to watch; to view; to observe	7910	kiến
見	見違える	みちがえる	v1	to mistake (for something or someone else); to be unable to recognize	7911	kiến vi
見	見下す	みくだす	v5s	to look down (on); to condescend (to)	7912	kiến hạ
見	見下ろす	みおろす	v5s	to overlook; to command a view of; to look down on	7913	kiến hạ
言	言い回し	いいまわし	n	expression; phraseology	8083	ngôn hồi
言	言い出す	いいだす	v5s	to begin to say; to start talking; to broach (a matter); to bring up; to come out with	8084	ngôn xuất
言	言い切る	いいきる	v5r	to declare; to assert; to state definitively	8085	ngôn thiết
言	言い渡す	いいわたす	v5s	to announce; to tell; to sentence; to order	8086	ngôn đò
言	言い表す	いいあらわす	v5s	to express (in words)	8087	ngôn biểu
言	言い分	いいぶん	n	one's say; one's point; one's case; one's claim	8088	ngôn phân
言	言い返す	いいかえす	v5s	to talk back; to answer back; to retort; to reply; to respond	8089	ngôn phản
言	言い方	いいかた	n	way of saying (something); way of putting it; wording; phrasing; language; expression	8090	ngôn phương
言	言うまでもない	いうまでもない	exp	goes without saying; needless to say; obvious	8091	ngôn
言	言わば	いわば	adv	so to speak; so to call it; as it were	8092	ngôn
言	言及	げんきゅう	n	reference; allusion	8093	ngôn cập
言	言語	げんご	n	language	8094	ngôn ngữ
古	古城	こじょう	n	old castle; old fortress	8126	cổ thành
古	古巣	ふるす	n	old haunts; former homes	8127	cổ ?
古	古代	こだい	n	ancient times; distant past; antiquity	8128	cổ đại
古	古着	ふるぎ	n	old clothes; secondhand clothing	8129	cổ ?
古	古典	こてん	n	classic (work, esp. book); the classics	8130	cổ điển
古	古典的	こてんてき	adj-na	classical; classic	8131	cổ điển đích
古	古都	こと	n	ancient city; former capital	8132	cổ đô
古	古風	こふう	adj-na	old-fashioned; archaic; antique; antiquated	8133	cổ phong
古	古墳	こふん	n	ancient burial mound; barrow; tumulus	8134	cổ phần
古	古本屋	ふるほんや	n	secondhand bookshop; secondhand bookstore; secondhand bookseller	8135	cổ bản ốc
古	古来	こらい	adv	from ancient times; from old times; from time immemorial	8136	cổ ?
古	考古学	こうこがく	n	archaeology; archeology	8648	khảo cổ ?
五	五分	ごぶ	n	half; 50%	8214	ngũ phân
五	四捨五入	ししゃごにゅう	n	rounding (off; a number); rounding half away from zero	9500	tứ xả ngũ nhập
五	十五	じゅうご	num	fifteen; 15	10548	thập ngũ
五	五輪	ごりん	n	Olympic Games; Olympics	19151	ngũ luân
五	五十	ごじゅう	num	fifty; 50	20967	ngũ thập
五	十五日	じゅうごにち	n	15th day of the month	22216	thập ngũ nhật
五	二十五日	にじゅうごにち	n	25th day of the month	22328	nhì thập ngũ nhật
後	後援	こうえん	n	support; backing	8237	hậu viện
後	後押し	あとおし	n	pushing; support; backing; supporter; backer	8238	hậu áp
後	後回し	あとまわし	n	putting off; postponing	8239	hậu hồi
後	後悔	こうかい	n	regret; repentance; remorse	8240	hậu hối
後	後期	こうき	n	latter period; second half; late stage; third trimester; second semester	8241	hậu kì
後	後継	こうけい	n	succession	8242	hậu ?
後	後見	こうけん	n	guardianship; guardian	8243	hậu kiến
後	後ろ向き	うしろむき	adj-na	back-facing; backwards	8244	hậu hướng
後	後妻	ごさい	n	second wife	8245	hậu thê
後	後始末	あとしまつ	n	settlement (of a matter); sorting out; winding up (affairs); dealing with the aftermath	8246	hậu thuỷ mạt
後	後者	こうしゃ	n	the latter; the second	8247	hậu ?
後	後手	ごて	n	losing initiative; being forestalled	8248	hậu thủ
語	外国語	がいこくご	n	foreign language	5967	ngoại ? ngữ
語	漢語	かんご	n	Japanese word of Chinese origin; Sino-Japanese word	6316	hán ngữ
語	韓国語	かんこくご	n	Korean (language; esp. as spoken in South Korea)	6451	? ? ngữ
語	季語	きご	n	seasonal word (in haiku)	6684	quí ngữ
語	共通語	きょうつうご	n	common language; lingua franca	7076	cộng thông ngữ
語	敬語	けいご	n	honorific; term of respect; polite expression; honorific language	7583	kính ngữ
語	言語	げんご	n	language	8094	ngôn ngữ
語	語	ご	n	word; term	8294	ngữ
語	語らう	かたらう	v5u	to talk; to tell; to recite; to pledge; to conspire with	8295	ngữ
語	語り	かたり	n	talk; recital	8296	ngữ
語	語り手	かたりて	n	narrator; storyteller; reciter	8298	ngữ thủ
語	語る	かたる	v5r	to talk about; to speak of; to tell; to narrate	8299	ngữ
口	口	くち	n	mouth	8449	khẩu
口	口コミ	くちコミ	n	word of mouth	8450	khẩu
口	口火	くちび	n	fuse; pilot light	8451	khẩu hoả
口	口径	こうけい	n	aperture; bore; calibre; caliber	8452	khẩu ?
口	口語	こうご	n	spoken language; colloquial speech	8453	khẩu ngữ
口	口紅	くちべに	n	lipstick	8454	khẩu hồng
口	口座	こうざ	n	account (e.g. bank)	8455	khẩu toà
口	口止め	くちどめ	n	forbidding mentioning (something to others); imposing silence (on); ordering (someone) to keep quiet; muzzling (someone); gagging; hushing up	8456	khẩu chỉ
口	口実	こうじつ	n	excuse; pretext	8457	khẩu ?
口	口出し	くちだし	n	meddling (in); butting in; interference; poking one's nose into	8458	khẩu xuất
口	口述	こうじゅつ	n	dictation; verbal statement	8459	khẩu thuật
口	口上	こうじょう	n	vocal message; speech; statement	8460	khẩu thượng
校	校則	こうそく	n	school rules; school regulations	8581	chò tắc
校	校長	こうちょう	n	principal; head teacher; headmaster; headmistress	8582	chò trường
校	校庭	こうてい	n	schoolyard; school playground; school grounds; campus	8583	chò đình
校	校内	こうない	n	within a school	8584	chò nội
校	校門	こうもん	n	school gate	8585	chò môn
校	高校	こうこう	n	senior high school; high school	8748	cao chò
校	高校生	こうこうせい	n	senior high school student	8749	cao chò sinh
校	高等学校	こうとうがっこう	n	senior high school; high school	8765	cao đẳng ? chò
校	将校	しょうこう	n	commissioned officer; military officer	10972	? chò
校	小学校	しょうがっこう	n	primary school; elementary school; grade school	10981	tiểu ? chò
校	全校	ぜんこう	n	the whole school	12579	toàn chò
校	中学校	ちゅうがっこう	n	junior high school; middle school; lower secondary school	13649	trung ? chò
行	慣行	かんこう	n	customary practice; habit; traditional event	6297	quen hàng
行	敢行	かんこう	n	decisive action; going through with; daring to do; carrying out	6306	cám hàng
行	紀行	きこう	n	traveller's journal; traveler's journal; travelogue	6690	kỉ hàng
行	急行	きゅうこう	n	hurrying (to somewhere); rushing; hastening	6910	cấp hàng
行	強行	きょうこう	n	forcing (e.g. a vote); carrying out (forcibly); pushing ahead (with); enforcement	7122	càng hàng
行	興行	こうぎょう	n	show; performance; act	7202	hưng hàng
行	銀行	ぎんこう	n	bank; banking institution	7361	ngân hàng
行	現行	げんこう	n	present; current; in operation	8068	hiện hàng
行	孝行	こうこう	n	filial piety	8498	hiếu hàng
行	航行	こうこう	n	cruise; navigation; sailing	8660	hàng hàng
行	行	ぎょう	n	line (of text); row; verse	8670	hàng
行	行き届く	いきとどく	v5k	to be scrupulous; to be attentive; to be prudent; to be complete; to be thorough	8672	hàng ?
高	高位	こうい	adj-na	dignity; eminent; high ranking	8734	cao vị
高	高温	こうおん	n	high temperature	8735	cao ồn
高	高音	こうおん	n	high-pitched tone; soprano	8736	cao âm
高	高価	こうか	adj-na	highly priced; expensive; valuable; costly	8737	cao ?
高	高架	こうか	adj-no	elevated (structure); overhead	8738	cao giá
高	高額	こうがく	n	large sum (of money); large amount	8739	cao ngạch
高	高官	こうかん	n	high official	8740	cao quan
高	高気圧	こうきあつ	n	high (atmospheric) pressure; high-pressure system; high-pressure zone; anticyclone	8741	cao ? ?
高	高級	こうきゅう	adj-na	high-class; high-grade; high-quality; high-end; luxury	8742	cao cấp
高	高給	こうきゅう	n	high salary	8743	cao cấp
高	高潔	こうけつ	adj-na	noble; lofty; high-minded; virtuous; upright	8744	cao khiết
高	高血圧	こうけつあつ	n	high blood pressure; hypertension	8745	cao huyết ?
国	外国語	がいこくご	n	foreign language	5967	ngoại ? ngữ
国	外国人	がいこくじん	n	foreigner; foreign citizen; foreign national; alien; non-Japanese	5968	ngoại ? nhân
国	各国	かっこく	n	each country; every country; various countries; all countries	6019	các ?
国	韓国	かんこく	n	South Korea; Republic of Korea	6450	? ?
国	韓国語	かんこくご	n	Korean (language; esp. as spoken in South Korea)	6451	? ? ngữ
国	帰国	きこく	n	return to one's country	6626	? ?
国	共和国	きょうわこく	n	republic; commonwealth	7088	cộng hoà ?
国	強国	きょうこく	n	strong nation; powerful country	7123	càng ?
国	軍国主義	ぐんこくしゅぎ	n	militarism	7509	quân ? chúa nghĩa
国	建国	けんこく	n	founding of a nation	7835	kiến ?
国	故国	ここく	n	one's native land	8174	cố ?
国	国営	こくえい	n	government management; state management	8833	? ?
今	今期	こんき	n	the present term; the present session	8933	kim kì
今	今月	こんげつ	n	this month	8934	kim nguyệt
今	今後	こんご	n	from now on; hereafter	8935	kim hậu
今	今更	いまさら	adv	now (when it is already much too late); at this stage	8936	kim canh
今	今頃	いまごろ	n	about this time; about now	8937	kim khoảnh
今	今時	いまどき	n	these days; nowadays; today; present age; modern times	8938	kim thì
今	今秋	こんしゅう	n	this autumn; this fall; autumn of this year	8939	kim thu
今	今春	こんしゅん	n	this spring; spring this year	8941	kim ?
今	今宵	こよい	n	this evening; tonight	8942	kim ?
今	今度	こんど	n	this time; now	8943	kim độ
今	今日は	こんにちは	int	hello; good day; good afternoon	8944	kim nhật
今	今日的	こんにちてき	adj-na	modern; up-to-date	8945	kim nhật đích
左	左前	ひだりまえ	n	wearing a kimono with the right side over the left (normally used only for the dead)	9004	tả tiền
左	左派	さは	n	left wing	9006	tả phái
左	左翼	さよく	n	left wing	9008	tả dực
左	左側	ひだりがわ	n	left side; left-hand side	18521	tả trắc
左	左利き	ひだりきき	n	left-handedness; left-handed person; left-hander	19519	tả lợi
左	左腕	ひだりうで	n	left arm	20262	tả oản
左	向かって左	むかってひだり	exp	on the left as one faces (it)	21513	hướng tả
三	三省	さんせい	n	frequent reflection; frequent meditation	9311	tam tỉnh
三	三振	さんしん	n	strikeout	9312	tam chấn
三	三人	さんにん	n	three people	9313	tam nhân
三	三選	さんせん	n	third-term election	9315	tam tuyển
三	三日	みっか	n	3rd day of the month	9317	tam nhật
三	三日月	みかづき	n	crescent moon; young moon	9318	tam nhật nguyệt
三	三本	さんぼん	n	three (long cylindrical things)	9320	tam bản
三	三枚	さんまい	n	three flat objects (sheets of paper, pieces of cloth, etc.)	9321	tam mai
三	三役	さんやく	n	three highest ranks (wrestling, unions, etc.)	9322	tam dịch
三	三流	さんりゅう	adj-no	third-rate; third-class	9323	tam lưu
三	三輪	さんりん	n	three wheels	9324	tam luân
三	三塁	さんるい	n	third base	9325	tam ?
山	山葵	わさび	n	wasabi (Wasabia japonica); Japanese horseradish	9351	sơn quỳ
山	山陰	やまかげ	n	place in the shade of a mountain; shelter of the mountains	9352	sơn âm
山	山奥	やまおく	n	deep in the mountains; mountain recesses	9353	sơn ?
山	山火事	やまかじ	n	forest fire; wildfire; bushfire	9354	sơn hoả sự
山	山岳	さんがく	n	mountain chain; mountains	9355	sơn ?
山	山間	さんかん	n	among the mountains	9356	sơn gian
山	山菜	さんさい	n	edible wild plants	9357	sơn ?
山	山寺	やまでら	n	mountain temple	9358	sơn ?
