char	jlpt_level	stroke_count	radical	on_readings	kun_readings	meaning_en	han_viet	meaning_vi
長	N5	8	168	チョウ	なが.い|おさ	long; leader; superior; senior	trường	dài, trưởng
天	N5	4	37	テン	あまつ|あめ|あま-	heavens; sky; imperial	thiên	trời, thiên
店	N5	8	53	テン	みせ|たな	store; shop	điếm	cửa hàng, tiệm, điếm
電	N5	13	173	デン		electricity		điện
土	N5	3	32	ド|ト	つち	soil; earth; ground; Turkey	thổ	đất, thổ
東	N5	8	75	トウ	ひがし	east	đang	đông, phương Đông
道	N5	12	162	ドウ|トウ	みち|いう	road-way; street; district; journey; course; moral; teachings	đạo	đường, đạo
読	N5	14	149	ドク|トク|トウ	よ.む|-よ.み	read		đọc, độc
南	N5	9	24	ナン|ナ	みなみ	south	nam	nam, phương Nam
二	N5	2	7	ニ|ジ	ふた|ふた.つ|ふたたび	two; two radical (no. 7)	nhì	hai, nhị
日	N5	4	72	ニチ|ジツ	ひ|-び|-か	day; sun; Japan; counter for days	nhật	ngày, mặt trời, nhật
入	N5	2	11	ニュウ|ジュ	い.る|-い.る|-い.り|い.れる|-い.れ|はい.る	enter; insert	nhập	vào, nhập
年	N5	6	51	ネン	とし	year; counter for years	nên	năm, niên
買	N5	12	154	バイ	か.う	buy	mãi	mua, mãi
白	N5	5	106	ハク|ビャク	しろ|しら-|しろ.い	white	bạch	trắng, bạch
八	N5	2	12	ハチ|ハツ	や|や.つ|やっ.つ|よう	eight; eight radical (no. 12)	bát	tám, bát
半	N5	5	24	ハン	なか.ば	half; middle; odd number; semi-; part-	bán	nửa, bán
百	N5	6	106	ヒャク|ビャク	もも	hundred	bá	trăm, bách
父	N5	4	88	フ	ちち	father		cha, phụ
分	N5	4	18	ブン|フン|ブ	わ.ける|わ.け|わ.かれる|わ.かる|わ.かつ	part; minute of time; segment; share; degree; one's lot; duty; understand; know; rate; 1%; chances; shaku/100	phân	phần, phút, phân
聞	N5	14	128	ブン|モン	き.く|き.こえる	hear; ask; listen		nghe, hỏi, văn
母	N5	5	80	ボ	はは|も	mother	mẫu	mẹ, mẫu
北	N5	5	21	ホク	きた	north		bắc, phương Bắc
本	N5	5	75	ホン	もと	book; present; main; origin; true; real; counter for long cylindrical things	bản	sách, gốc, bản
毎	N5	6	80	マイ	ごと|-ごと.に	every		mỗi, mọi
万	N5	3	1	マン|バン	よろず	ten thousand; 10,000	vạn	vạn, mười nghìn
名	N5	6	30	メイ|ミョウ	な|-な	name; noted; distinguished; reputation	danh	tên, danh
木	N5	4	75	ボク|モク	き|こ-	tree; wood	mộc	cây, gỗ, mộc
目	N5	5	109	モク|ボク	め|-め|ま-	eye; class; look; insight; experience; care; favor	mục	mắt, mục
友	N5	4	29	ユウ	とも	friend	hữu	bạn, hữu
来	N5	7	75	ライ|タイ	く.る|きた.る|きた.す|き.たす|き.たる|き|こ	come; due; next; cause; become		đến, lai
立	N5	5	117	リツ|リュウ|リットル	た.つ|-た.つ|た.ち-|た.てる|-た.てる|た.て-|たて-|-た.て|-だ.て|-だ.てる	stand up; rise; set up; erect	lập	đứng, lập
六	N5	4	12	ロク|リク	む|む.つ|むっ.つ|むい	six	lục	sáu, lục
話	N5	13	149	ワ	はな.す|はなし	tale; talk	thoại	chuyện, lời, thoại
