kanji_char	word	reading	pos	en_gloss	frequency_rank	han_viet
魚	魚介	ぎょかい	n	marine products; seafood; fish and shellfish	7029	ngư giới
魚	魚介類	ぎょかいるい	n	marine products; seafood; fish and shellfish	7030	ngư giới loại
魚	魚群	ぎょぐん	n	school of fish; shoal of fish	7031	ngư quần
魚	魚市場	うおいちば	n	fish market	7032	ngư thị trường
魚	魚肉	ぎょにく	n	fish meat	7033	ngư ?
魚	魚雷	ぎょらい	n	torpedo	7034	ngư lôi
魚	魚類	ぎょるい	n	fish; fishes	7035	ngư loại
金	お金	おかね	n	money	55	kim
金	一時金	いちじきん	n	single amount (of money); one-off payment; lump sum	4855	nhất thì kim
金	黄金	おうごん	n	gold (Au)	5348	hoàng kim
金	黄金時代	おうごんじだい	n	golden age	5349	hoàng kim thì đại
金	課徴金	かちょうきん	n	charges (i.e. fees)	5675	khoá ? kim
金	換金	かんきん	n	realization (of goods into money); conversion (into money); liquidation	6303	? kim
金	基金	ききん	n	fund; foundation	6529	cơ kim
金	寄金	ききん	n	contribution; donation	6551	gửi kim
九	九つ	ここのつ	num	nine	7366	cửu
九	九九	くく	n	multiplication table; times table	7367	cửu cửu
九	九月	くがつ	n	September	7368	cửu nguyệt
九	九州	きゅうしゅう	n	Kyūshū (southernmost of the four main islands of Japan)	7369	cửu châu
九	九重	ここのえ	n	ninefold	7370	cửu trọng
九	九日	ここのか	n	9th day of the month	7371	cửu nhật
九	十九	じゅうきゅう	num	nineteen; 19	10546	thập cửu
九	九	きゅう	num	nine; 9	18471	cửu
空	宇宙空間	うちゅうくうかん	n	(outer) space	5061	vũ trụ không gian
空	架空	かくう	adj-no	fictitious; imaginary; fanciful; fabricated	5601	giá không
空	空ける	あける	v1	to empty; to remove; to make space; to make room	5910	không
空	虚空	こくう	n	empty space; empty sky	7008	hư không
空	空	から	n	emptiness; being empty	7429	không
空	空	そら	n	sky; the air; the heavens	7430	không
空	空き缶	あきかん	n	empty can	7431	không phẫu
空	空き地	あきち	n	vacant land; unoccupied ground; empty lot	7432	không địa
月	１月	いちがつ	n	January	4836	nguyệt
月	一月	ひとつき	n	one month	4837	nhất nguyệt
月	ヶ月	かげつ	ctr	counter for months	5639	nguyệt
月	隔月	かくげつ	n	every second month; every other month	6078	cách nguyệt
月	旧正月	きゅうしょうがつ	n	lunar New Year (esp. the Chinese New Year)	6971	? chính nguyệt
月	９月	くがつ	n	September	7368	nguyệt
月	月	つき	n	Moon	7774	nguyệt
月	月額	げつがく	n	monthly sum; monthly amount	7775	nguyệt ngạch
見	見す見す	みすみす	adv	before one's own eyes; from under one's very nose; without doing anything; without resistance; helplessly; negligently; knowingly	427	kiến kiến
見	意見	いけん	n	opinion; view; comment	4682	ý kiến
見	一見	いっけん	n	look; glimpse; glance	4839	nhất kiến
見	下見	したみ	n	preliminary inspection; having a look in advance	5420	hạ kiến
見	花見	はなみ	n	cherry blossom viewing; flower viewing	5646	hoa kiến
見	会見	かいけん	n	interview; audience; meeting; (viewing) party	5740	hội kiến
見	外見	がいけん	n	outward appearance; looks	5963	ngoại kiến
見	垣間見る	かいまみる	v1	to take a peep at; to catch a glimpse of	6014	? gian kiến
言	こう言う	こういう	adj-pn	such; this sort of; like this	155	ngôn
言	と言うもの	というもの	exp	something like ...; something called ...	307	ngôn
言	と言えば	といえば	exp	speaking of ...	318	ngôn
言	遺言	ゆいごん	n	will; testament; one's dying wish; one's last words	4763	di ngôn
言	過言	かごん	n	exaggeration; overstatement; saying too much	5688	quá ngôn
言	甘言	かんげん	n	sweet words; smooth talk; cajolery; flattery; sycophancy	6331	cam ngôn
言	狂言	きょうげん	n	kyogen; farce presented between noh plays or during the interlude of a noh play	7184	cuồng ngôn
言	苦言	くげん	n	candid advice; frank advice; honest opinion; exhortation; harsh but honest advice	7393	khổ ngôn
古	稽古	けいこ	n	practice; practising; training; study	7594	ghê cổ
古	古	いにしえ	n	antiquity; ancient times; bygone days; former times	8119	cổ
古	古い	ふるい	adj-i	old; aged; ancient; antiquated; antique; timeworn	8120	cổ
古	古語	こご	n	archaic word; obsolete word; archaism	8121	cổ ngữ
古	古今	ここん	n	ancient and modern times; all ages; past and present	8122	cổ kim
古	古参	こさん	n	senior; veteran; old-timer	8123	cổ ?
古	古臭い	ふるくさい	adj-i	stale; old fashioned; hackneyed; trite; antiquated; obsolete; musty; outdated	8124	cổ xú
古	古書	こしょ	n	old book; rare book; classic	8125	cổ thư
五	五	ご	num	five; 5	8206	ngũ
五	五つ	いつつ	num	five	8207	ngũ
五	五感	ごかん	n	the five senses	8208	ngũ cảm
五	五月	ごがつ	n	May	8209	ngũ nguyệt
五	五十音	ごじゅうおん	n	the Japanese syllabary	8210	ngũ thập âm
五	五十三次	ごじゅうさんつぎ	n	fifty-three stations on the Tōkaidō (Edo-Kyoto highway in Edo-period Japan)	8211	ngũ thập tam thứ
五	五体	ごたい	n	the whole body	8212	ngũ thể
五	五日	いつか	n	5th day of the month	8213	ngũ nhật
午	午	うま	n	the Horse (seventh sign of the Chinese zodiac)	8222	ngọ
午	午後	ごご	n	afternoon; p.m.	8223	ngọ hậu
午	午前	ごぜん	n	morning; a.m.	8224	ngọ tiền
午	午前中	ごぜんちゅう	n	in the morning; during the morning	8225	ngọ tiền trung
午	正午	しょうご	n	noon; midday	12004	chính ngọ
後	以後	いご	n	after this; from now on; hereafter	4645	? hậu
後	午後	ごご	n	afternoon; p.m.	8223	ngọ hậu
後	後	あと	n	behind; rear	8231	hậu
後	後	のち	n	later; afterwards	8232	hậu
後	後ろ	うしろ	n	back; behind; rear	8233	hậu
後	後ろ姿	うしろすがた	n	(a person's) appearance from behind; person as seen from behind; back view; retreating figure	8234	hậu tư
後	後ろ盾	うしろだて	n	backing; support; backer; supporter; patron; sponsor	8235	hậu thuẫn
後	後遺症	こういしょう	n	prognostic symptoms; after-effect; sequela	8236	hậu di chứng
語	スペイン語	スペインご	n	Spanish (language)	2052	ngữ
語	スワヒリ語	スワヒリご	n	Swahili (language); Kiswahili	2104	ngữ
語	ドイツ語	ドイツご	n	German (language)	2572	ngữ
語	フランス語	フランスご	n	French (language)	3312	ngữ
語	ラテン語	ラテンご	n	Latin (language)	4198	ngữ
語	隠語	いんご	n	secret language; jargon; cant; argot; slang	5044	? ngữ
語	英語	えいご	n	English (language)	5144	anh ngữ
語	英単語	えいたんご	n	English word	5148	anh ? ngữ
口	異口同音	いくどうおん	n	(saying) with one voice; unanimously; in chorus; in unison; as one	4715	? khẩu đồng âm
口	一口	ひとくち	n	mouthful; morsel; bite	4845	nhất khẩu
口	陰口	かげぐち	n	malicious gossip; backbiting; speaking ill behind someone's back	5037	âm khẩu
口	改札口	かいさつぐち	n	ticket barrier; ticket gate; wicket	5842	? trát khẩu
口	開口	かいこう	n	opening; aperture (e.g. camera)	5919	khai khẩu
口	間口	まぐち	n	frontage; width (of a building, plot of land, etc.)	6418	gian khẩu
口	戸口	とぐち	n	door; doorway	8165	? khẩu
口	語り口	かたりくち	n	way of reciting; way of telling a story	8297	ngữ khẩu
校	開校	かいこう	n	opening a school	5920	khai chò
校	学校	がっこう	n	school	6097	? chò
校	休校	きゅうこう	n	(temporary) closure of school	6878	hưu chò
校	校閲	こうえつ	n	revision; proofreading	8576	chò duyệt
校	校歌	こうか	n	school song; college song; school anthem	8577	chò ca
校	校旗	こうき	n	school flag	8578	chò cờ
校	校舎	こうしゃ	n	school building; schoolhouse	8579	chò ?
校	校正	こうせい	n	proofreading	8580	chò chính
行	移行	いこう	n	transition; changeover; switchover; shift	4734	dời hàng
行	一方通行	いっぽうつうこう	n	one-way traffic	4954	nhất phương thông hàng
行	宇宙飛行士	うちゅうひこうし	n	astronaut	5062	vũ trụ phi hàng sĩ
行	運行	うんこう	n	operation (of a bus or train service); service; running	5094	vận hàng
行	雲行き	くもゆき	n	weather; look of the sky	5110	vân hàng
行	奥行き	おくゆき	n	depth; length	5276	? hàng
行	横行	おうこう	n	being rampant; being widespread; being prevalent	5310	hoạnh hàng
行	刊行	かんこう	n	publication; issue	6218	san hàng
高	円高	えんだか	n	appreciation of the yen; strong yen	5181	? cao
高	可能性が高い	かのうせいがたかい	exp	very likely; very probable	5539	khả năng tính cao
高	甲高い	かんだかい	adj-i	high-pitched; shrill	8604	giáp cao
高	高い	たかい	adj-i	high; tall	8729	cao
高	高さ	たかさ	n	height; altitude; elevation; level	8730	cao
高	高まる	たかまる	v5r	to rise; to swell; to be promoted	8731	cao
高	高める	たかめる	v1	to raise; to lift; to boost; to enhance	8732	cao
高	高圧	こうあつ	n	high voltage; high pressure	8733	cao ?
国	アメリカ合衆国	アメリカがっしゅうこく	n	United States of America	4539	hợp ? ?
国	愛国	あいこく	n	love of one's country; patriotism	4552	? ?
国	異国	いこく	n	foreign country	4716	? ?
国	一国	いっこく	n	one country	4848	nhất ?
国	英国	えいこく	n	United Kingdom; Britain; Great Britain	5145	anh ?
国	王国	おうこく	n	kingdom; monarchy	5333	vương ?
国	開発途上国	かいはつとじょうこく	n	developing country	5936	khai ? đồ thượng ?
国	外国	がいこく	n	foreign country	5966	ngoại ?
今	古今	ここん	n	ancient and modern times; all ages; past and present	8122	cổ kim
今	今	いま	n	now; the present time; just now; soon; immediately	8926	kim
今	今に	いまに	adv	before long; even now	8927	kim
今	今にも	いまにも	adv	at any moment (now); at any minute; on the verge of (doing); just about to	8928	kim
今	今や	いまや	adv	now (esp. in contrast to the past); now at last; at present; right now	8929	kim
今	今一	いまいち	adv	not quite (right); not very good; somewhat (lacking)	8930	kim nhất
今	今夏	こんか	n	this summer; next summer; last summer	8931	kim ?
今	今回	こんかい	n	this time; now	8932	kim hồi
左	右往左往	うおうさおう	n	moving about in confusion; going every which way; going this way and that	5050	hữu vãng tả vãng
左	左	ひだり	n	left; left-hand side	8997	tả
左	左右	さゆう	n	left and right; right and left	8998	tả hữu
左	左記	さき	n	undermentioned (statement); the following; at left	8999	tả kí
左	左手	ひだりて	n	left hand	9000	tả thủ
左	左上	ひだりうえ	n	upper left	9001	tả thượng
左	左折	させつ	n	turning to the left; left turn	9002	tả chiết
左	左遷	させん	n	demotion; relegation; reduction in rank; degradation; downward move	9003	tả thiên
三	五十三次	ごじゅうさんつぎ	n	fifty-three stations on the Tōkaidō (Edo-Kyoto highway in Edo-period Japan)	8211	ngũ thập tam thứ
三	再三	さいさん	adv	again and again; repeatedly	9074	tái tam
三	三つ	みっつ	num	three	9301	tam
三	三回	さんかい	n	three times	9302	tam hồi
三	三角	さんかく	n	triangle; triangular shape	9303	tam góc
三	三月	さんがつ	n	March	9304	tam nguyệt
三	三権	さんけん	n	the three powers of government (legislative, executive and judicial)	9305	tam ?
三	三時	さんじ	n	3 o'clock	9306	tam thì
山	奥山	おくやま	n	remote mountain; mountain recesses	5277	? sơn
山	下山	げざん	n	descending a mountain; descent	5424	hạ sơn
山	火山	かざん	n	volcano	5623	hoả sơn
山	火山灰	かざんばい	n	volcanic ash	5624	hoả sơn hôi
山	岩山	いわやま	n	rocky mountain	6479	nham sơn
山	鉱山	こうざん	n	mine (ore)	8709	? sơn
山	高山	こうざん	n	high mountain; alpine mountain	8750	cao sơn
山	山	やま	n	mountain; hill	9350	sơn
四	四つ	よっつ	num	four; 4	9489	tứ
四	四つ角	よつかど	n	four corners	9490	tứ góc
四	四角	しかく	adj-na	quadrilateral; square	9491	tứ góc
四	四角い	しかくい	adj-i	square; rectangular	9492	tứ góc
四	四季	しき	n	the four seasons	9493	tứ quí
四	四球	しきゅう	n	base on balls; walk; pass	9494	tứ cầu
四	四隅	よすみ	n	four corners	9495	tứ ?
四	四月	しがつ	n	April	9496	tứ nguyệt
子	お菓子	おかし	n	confections; sweets; candy; cake	49	? tí
子	お子様	おこさま	n	(another's) child	64	tí ?
子	ドラ息子	どらむすこ	n	lazy son; profligate son	2597	tức tí
子	椅子	いす	n	chair; seat; stool; bench	4702	? tí
子	遺伝子	いでんし	n	gene	4777	di ? tí
子	一人息子	ひとりむすこ	n	only son	4876	nhất nhân tức tí
子	因子	いんし	n	factor	5003	nhân tí
子	王子	おうじ	n	prince	5335	vương tí
時	ひと時	ひととき	n	a (short) time; a while; moment	4853	thì
時	一時間	いちじかん	n	one hour	4854	nhất thì gian
時	一時金	いちじきん	n	single amount (of money); one-off payment; lump sum	4855	nhất thì kim
時	一時的	いちじてき	adj-na	temporary; transitory; short-lived	4856	nhất thì đích
時	営業時間	えいぎょうじかん	n	business hours; opening hours; office hours	5117	? nghiệp thì gian
時	黄金時代	おうごんじだい	n	golden age	5349	hoàng kim thì đại
時	何時	なんじ	n	what time; which hour	5487	? thì
時	何時の間にか	いつのまにか	adv	before one knows; before one becomes aware of; unnoticed; unawares	5488	? thì gian
耳	耳	みみ	n	ear	9884	nhĩ
耳	耳障り	みみざわり	adj-na	hard (on the ears); offensive (to the ear); rasping; rough; harsh; grating; jarring; cacophonous	9885	nhĩ chướng
耳	耳鼻科	じびか	n	otolaryngology; ear, nose, and throat department	9886	nhĩ ? khoa
耳	耳目	じもく	n	eyes and ears; seeing and hearing	9887	nhĩ mục
耳	中耳	ちゅうじ	n	middle ear; tympanum	13669	trung nhĩ
耳	中耳炎	ちゅうじえん	n	otitis media; middle-ear infection	13670	trung nhĩ viêm
耳	耳元	みみもと	n	close to the ear	20035	nhĩ nguyên
耳	耳より	みみより	adj-na	welcome (news); inviting; encouraging; tempting; hopeful	20036	nhĩ
七	七	しち	num	seven	9975	thất
七	七つ	ななつ	num	seven	9976	thất
七	七月	しちがつ	n	July	9977	thất nguyệt
七	七五三	しちごさん	n	shichi-go-san; 7-5-3 day; festival day for children aged 7, 5 and 3 held on or around November 15	9978	thất ngũ tam
七	七福神	しちふくじん	n	Seven Gods of Fortune; Seven Deities of Good Luck; Seven Lucky Gods	9979	thất phúc thần
七	七十	しちじゅう	num	seventy; 70	18541	thất thập
七	七日	なのか	n	7th day of the month	18542	thất nhật
七	七夕	たなばた	n	Star Festival (held in July or August); Tanabata; Festival of the Weaver	18543	thất tịch
社	会社	かいしゃ	n	company; corporation; firm	5742	hội xã
社	会社員	かいしゃいん	n	company employee; office worker; white-collar worker	5743	hội xã viên
社	株式会社	かぶしきがいしゃ	n	stock company; corporation; kabushiki kaisha; KK	6190	chò thức hội xã
社	貴社	きしゃ	n	your company	6715	quý xã
社	結社	けっしゃ	n	association; society	7756	kết xã
社	御社	おんしゃ	n	your company	8269	ngự xã
社	公社	こうしゃ	n	public corporation	8386	công xã
社	公社債	こうしゃさい	n	public bonds	8387	công xã trái
車	下車	げしゃ	n	alighting (from a train, bus, etc.); getting off; getting out (of a car)	5426	hạ xa
車	貨車	かしゃ	n	freight car; van	5678	hoá xa
車	外車	がいしゃ	n	foreign-made car; imported car	5970	ngoại xa
車	機関車	きかんしゃ	n	locomotive; engine	6601	cơ ? xa
車	汽車	きしゃ	n	steam locomotive; steam train	6676	? xa
車	客車	きゃくしゃ	n	passenger car; passenger carriage	6842	khách xa
車	救急車	きゅうきゅうしゃ	n	ambulance	6929	cứu cấp xa
車	空車	くうしゃ	n	empty conveyance; empty taxi; free taxi	7440	không xa
手	お手上げ	おてあげ	n	being done for; giving up; being in a hopeless situation; not knowing what to do; being brought to one's knees; throwing up (one's) hands	68	thủ thượng
手	お手洗い	おてあらい	n	toilet; restroom; lavatory; bathroom	69	thủ tẩy
手	お手伝いさん	おてつだいさん	n	maid	70	thủ ?
手	握手	あくしゅ	n	handshake	4589	? thủ
手	一手	いって	n	one move (in go, shogi, etc.)	4859	nhất thủ
手	一番手	いちばんて	n	first person (to do); person going first	4939	nhất phan thủ
手	右手	みぎて	n	right hand	5052	hữu thủ
手	運転手	うんてんしゅ	n	driver; chauffeur	5098	vận ? thủ
週	一週間	いっしゅうかん	n	one week	4863	nhất chu gian
週	今週	こんしゅう	n	this week	8940	kim chu
週	再来週	さらいしゅう	n	week after next	9086	tái ? chu
週	週	しゅう	n	week	10498	chu
週	週刊	しゅうかん	n	weekly publication	10499	chu san
週	週刊誌	しゅうかんし	n	weekly (publication); weekly magazine; weekly journal	10500	chu san chí
週	週間	しゅうかん	n	week	10501	chu gian
週	週末	しゅうまつ	adv	weekend	10502	chu mạt
十	五十音	ごじゅうおん	n	the Japanese syllabary	8210	ngũ thập âm
十	五十三次	ごじゅうさんつぎ	n	fifty-three stations on the Tōkaidō (Edo-Kyoto highway in Edo-period Japan)	8211	ngũ thập tam thứ
十	三十日	さんじゅうにち	n	30th day of the month	9308	tam thập nhật
十	三十八度線	さんじゅうはちどせん	n	38th parallel (that demarcates North Korea and South Korea)	9309	tam thập bát độ ?
十	十一	じゅういち	num	eleven; 11	10543	thập nhất
十	十一月	じゅういちがつ	n	November	10544	thập nhất nguyệt
十	十億	じゅうおく	num	1,000,000,000; billion	10545	thập ức
十	十九	じゅうきゅう	num	nineteen; 19	10546	thập cửu
出	ことが出来る	ことができる	exp	to be able (to); to be possible (to)	165	xuất ?
出	隠し引き出し	かくしひきだし	n	secret drawer; hidden drawer	5040	? dẫn xuất
出	演出	えんしゅつ	n	direction (of a play, film, etc.); production	5218	diễn xuất
出	家出	いえで	n	running away from home; elopement	5566	gia xuất
出	外出	がいしゅつ	n	going out; outing; leaving (one's home, office, etc.)	5972	ngoại xuất
出	割り出す	わりだす	v5s	to calculate; to compute	6148	cắt xuất
出	救出	きゅうしゅつ	n	rescue; extricate; reclaim; deliverance	6932	cứu xuất
出	供出	きょうしゅつ	n	obligatory supply (of goods to the government, e.g. during wartime); delivery (to the government at a fixed price, e.g. of rice)	7042	cung xuất
書	遺書	いしょ	n	note left by a dead person; suicide note; testamentary letter; will; testament	4772	di thư
書	横書き	よこがき	n	writing horizontally; horizontal writing	5312	hoạnh thư
書	下書き	したがき	n	draft; rough copy	5433	hạ thư
書	願書	がんしょ	n	(written) application; written request; petition	6498	nguyện thư
書	教科書	きょうかしょ	n	textbook; coursebook; schoolbook	7158	giáo khoa thư
書	教書	きょうしょ	n	message (delivered by the US president or a state governor); address	7169	giáo thư
書	筋書き	すじがき	n	synopsis; outline; plot	7301	gân thư
書	契約書	けいやくしょ	n	(written) contract; agreement	7550	khế ước thư
女	悪女	あくじょ	n	wicked woman	4575	? nữa
女	王女	おうじょ	n	princess	5339	vương nữa
女	皇女	こうじょ	n	imperial princess	8612	hoàng nữa
