# N5 Vietnamese translations (first-pass).
# Format: word<TAB>vi
# Appended in batches; merge with `npm run seed:vi:populate` then `seed:vi:merge`.
明白	rõ ràng, hiển nhiên
十二	mười hai
十二月	tháng Mười Hai
十二分	quá đủ, dư dả
十八	mười tám
１０万	một trăm nghìn
十六	mười sáu
淑女	quý cô
縮小	thu nhỏ, cắt giảm
出土	khai quật, đào lên
書店	hiệu sách
商店	cửa hàng
商店街	khu phố mua sắm
小さい	nhỏ
少尉	thiếu úy
小雨	mưa nhỏ, mưa phùn
小川	suối nhỏ
少し	một chút
少しずつ	từng chút một
少しも	không một chút nào
少ない	ít, hiếm
上半期	nửa đầu năm
上半身	nửa thân trên
浄土	tịnh độ, cõi cực lạc
植木鉢	chậu cây
新聞	báo (tin tức)
新聞紙	giấy báo
新聞社	tòa soạn báo
真っ二つ	chia đôi đều nhau
神父	linh mục
親父	bố, ông già (gọi thân mật)
親友	bạn thân
数千	hàng nghìn
数多く	rất nhiều, đông đảo
数百	hàng trăm
正午	giữa trưa
聖母	Đức Mẹ, thánh mẫu
西	tây
西ドイツ	Tây Đức
西瓜	dưa hấu
西欧	Tây Âu
西口	cửa tây
西側	phía tây
西南	tây nam
青田買い	đặt mua trước (lúa còn xanh)
青白い	xanh xao, tái nhợt
折半	chia đôi
千	nghìn
千円札	tờ 1000 yên
千秋楽	ngày diễn cuối
千切る	xé vụn, xé nhỏ
専門店	cửa hàng chuyên dụng
川	sông
川沿い	dọc bờ sông
川下	hạ lưu
川岸	bờ sông
川上	thượng nguồn
前代未聞	chưa từng nghe, chưa từng có
前半戦	hiệp một
全土	toàn quốc, toàn lãnh thổ
祖父	ông nội, ông ngoại
祖父母	ông bà
多	đa, nhiều
多い	nhiều
多寡	nhiều ít
多額	số lớn (tiền)
多岐	đa dạng, nhiều mặt
多元的	đa nguyên
大男	người đàn ông to lớn
大木	cây lớn
第二	thứ hai
男	đàn ông, nam giới
男の子	con trai, bé trai
男の人	người đàn ông
男らしい	nam tính
中耳	tai giữa
中耳炎	viêm tai giữa
中東	Trung Đông
中南米	Trung và Nam Mỹ
仲買	môi giới
庭木	cây vườn
土	đất
土間	nền đất, sàn đất
東	đông
東欧	Đông Âu
東海	vùng Tokai
東宮	thái tử
東南	đông nam
東北	đông bắc
読み	cách đọc
南	nam
南アフリカ	Nam Phi
南緯	vĩ độ nam
南海	biển nam
南極	Nam Cực
南北	bắc nam
二	hai
二つ	hai (cái)
二百十日	ngày 210 (mùa bão)
二百二十日	ngày 220 (cuối mùa bão)
波乱万丈	đầy thăng trầm, sóng gió
敗北	thua cuộc, bại trận
買取	mua lại, thu mua
買い出し	đi mua sắm, đi chợ
買い入れる	mua vào, nhập về
買う	mua
白	trắng
八つ当たり	trút giận lên người khác
八月	tháng Tám
八重桜	hoa anh đào kép
八千代	muôn đời, ngàn năm
八日	ngày mùng 8
八百屋	tiệm rau quả
百	trăm
百億	mười tỷ
１００万	một triệu
父	cha, bố
聞かす	cho nghe, kể (chuyện)
北	bắc
北北東	đông bắc bắc
北アイルランド	Bắc Ireland
北緯	vĩ độ bắc
北欧	Bắc Âu
毎	mỗi
毎に	mỗi, từng
毎回	mỗi lần
毎時	mỗi giờ
毎週	mỗi tuần
毎朝	mỗi sáng
毎度	mỗi lần (luôn luôn)
万が一	lỡ như, nhỡ ra
万一	trường hợp khẩn cấp
万引き	trộm vặt (trong cửa hàng)
万国	muôn nước, toàn cầu
万事	mọi việc, tất cả
盟友	bạn thề
友	bạn, đồng chí
友愛	tình bạn, tình huynh đệ
友好	hữu nghị
六月	tháng Sáu
六十四分音符	nốt móc tư
六日	ngày mùng 6
九	chín
七十	bảy mươi
七日	ngày mùng 7
七夕	lễ Tanabata (lễ thất tịch)
六	sáu
六つ	sáu (cái)
飲み込む	nuốt
耳元	bên tai
耳より	tin vui, đáng mừng
宿駅	trạm dịch
六十	sáu mươi
十六日	ngày 16
