kanji_char	word	reading	pos	en_gloss	frequency_rank	han_viet	vi_meaning
言	過言	かごん	n	exaggeration; overstatement; saying too much	5688	quá ngôn	nói quá, cường điệu
言	甘言	かんげん	n	sweet words; smooth talk; cajolery; flattery; sycophancy	6331	cam ngôn	lời ngọt, lời tâng bốc
言	狂言	きょうげん	n	kyogen; farce presented between noh plays or during the interlude of a noh play	7184	cuồng ngôn	kịch kyogen
言	苦言	くげん	n	candid advice; frank advice; honest opinion; exhortation; harsh but honest advice	7393	khổ ngôn	lời khuyên thẳng thắn
古	稽古	けいこ	n	practice; practising; training; study	7594	ghê cổ	luyện tập, rèn luyện
古	古	いにしえ	n	antiquity; ancient times; bygone days; former times	8119	cổ	cổ, thời xa xưa
古	古い	ふるい	adj-i	old; aged; ancient; antiquated; antique; timeworn	8120	cổ	cũ, cổ
古	古語	こご	n	archaic word; obsolete word; archaism	8121	cổ ngữ	từ cổ
古	古今	ここん	n	ancient and modern times; all ages; past and present	8122	cổ kim	xưa nay, cổ kim
古	古参	こさん	n	senior; veteran; old-timer	8123	cổ ?	người kỳ cựu
古	古臭い	ふるくさい	adj-i	stale; old fashioned; hackneyed; trite; antiquated; obsolete; musty; outdated	8124	cổ xú	cổ lỗ, lỗi thời
古	古書	こしょ	n	old book; rare book; classic	8125	cổ thư	sách cổ, sách cũ
五	五	ご	num	five; 5	8206	ngũ	năm
五	五つ	いつつ	num	five	8207	ngũ	năm (cái)
五	五感	ごかん	n	the five senses	8208	ngũ cảm	ngũ giác
五	五月	ごがつ	n	May	8209	ngũ nguyệt	tháng Năm
五	五十音	ごじゅうおん	n	the Japanese syllabary	8210	ngũ thập âm	bảng chữ cái Nhật (50 âm)
五	五十三次	ごじゅうさんつぎ	n	fifty-three stations on the Tōkaidō (Edo-Kyoto highway in Edo-period Japan)	8211	ngũ thập tam thứ	53 trạm dịch (Tokaido)
五	五体	ごたい	n	the whole body	8212	ngũ thể	toàn thân
五	五日	いつか	n	5th day of the month	8213	ngũ nhật	ngày mùng 5
午	午	うま	n	the Horse (seventh sign of the Chinese zodiac)	8222	ngọ	năm Ngọ
午	午後	ごご	n	afternoon; p.m.	8223	ngọ hậu	chiều, buổi chiều
午	午前	ごぜん	n	morning; a.m.	8224	ngọ tiền	sáng, buổi sáng
午	午前中	ごぜんちゅう	n	in the morning; during the morning	8225	ngọ tiền trung	trong buổi sáng
午	正午	しょうご	n	noon; midday	12004	chính ngọ	giữa trưa
後	以後	いご	n	after this; from now on; hereafter	4645	? hậu	từ nay trở đi, sau này
後	午後	ごご	n	afternoon; p.m.	8223	ngọ hậu	chiều, buổi chiều
後	後	あと	n	behind; rear	8231	hậu	sau, phía sau
後	後	のち	n	later; afterwards	8232	hậu	sau, phía sau
後	後ろ	うしろ	n	back; behind; rear	8233	hậu	phía sau, sau lưng
後	後ろ姿	うしろすがた	n	(a person's) appearance from behind; person as seen from behind; back view; retreating figure	8234	hậu tư	dáng nhìn từ sau lưng
後	後ろ盾	うしろだて	n	backing; support; backer; supporter; patron; sponsor	8235	hậu thuẫn	chỗ dựa, người hậu thuẫn
後	後遺症	こういしょう	n	prognostic symptoms; after-effect; sequela	8236	hậu di chứng	di chứng
語	スペイン語	スペインご	n	Spanish (language)	2052	ngữ	tiếng Tây Ban Nha
語	スワヒリ語	スワヒリご	n	Swahili (language); Kiswahili	2104	ngữ	tiếng Swahili
語	ドイツ語	ドイツご	n	German (language)	2572	ngữ	tiếng Đức
語	フランス語	フランスご	n	French (language)	3312	ngữ	tiếng Pháp
語	ラテン語	ラテンご	n	Latin (language)	4198	ngữ	tiếng Latinh
語	隠語	いんご	n	secret language; jargon; cant; argot; slang	5044	? ngữ	tiếng lóng
語	英語	えいご	n	English (language)	5144	anh ngữ	tiếng Anh
語	英単語	えいたんご	n	English word	5148	anh ? ngữ	từ vựng tiếng Anh
口	異口同音	いくどうおん	n	(saying) with one voice; unanimously; in chorus; in unison; as one	4715	? khẩu đồng âm	đồng thanh, nhất trí
口	一口	ひとくち	n	mouthful; morsel; bite	4845	nhất khẩu	một miếng, một ngụm
口	陰口	かげぐち	n	malicious gossip; backbiting; speaking ill behind someone's back	5037	âm khẩu	nói xấu sau lưng
口	改札口	かいさつぐち	n	ticket barrier; ticket gate; wicket	5842	? trát khẩu	cửa soát vé
口	開口	かいこう	n	opening; aperture (e.g. camera)	5919	khai khẩu	mở miệng, lỗ mở
口	間口	まぐち	n	frontage; width (of a building, plot of land, etc.)	6418	gian khẩu	mặt tiền (nhà, đất)
口	戸口	とぐち	n	door; doorway	8165	? khẩu	cửa ra vào
口	語り口	かたりくち	n	way of reciting; way of telling a story	8297	ngữ khẩu	cách kể chuyện
校	開校	かいこう	n	opening a school	5920	khai chò	khai trường
校	学校	がっこう	n	school	6097	? chò	trường học
校	休校	きゅうこう	n	(temporary) closure of school	6878	hưu chò	nghỉ học (toàn trường)
校	校閲	こうえつ	n	revision; proofreading	8576	chò duyệt	hiệu đính, soát lỗi
校	校歌	こうか	n	school song; college song; school anthem	8577	chò ca	bài ca của trường
校	校旗	こうき	n	school flag	8578	chò cờ	cờ của trường
校	校舎	こうしゃ	n	school building; schoolhouse	8579	chò ?	tòa nhà trường học
校	校正	こうせい	n	proofreading	8580	chò chính	hiệu đính, in thử
行	移行	いこう	n	transition; changeover; switchover; shift	4734	dời hàng	chuyển đổi, chuyển sang
行	一方通行	いっぽうつうこう	n	one-way traffic	4954	nhất phương thông hàng	đường một chiều
行	宇宙飛行士	うちゅうひこうし	n	astronaut	5062	vũ trụ phi hàng sĩ	phi hành gia
行	運行	うんこう	n	operation (of a bus or train service); service; running	5094	vận hàng	vận hành (tuyến xe, tàu)
行	雲行き	くもゆき	n	weather; look of the sky	5110	vân hàng	tình hình thời tiết, chiều hướng
行	奥行き	おくゆき	n	depth; length	5276	? hàng	chiều sâu
行	横行	おうこう	n	being rampant; being widespread; being prevalent	5310	hoạnh hàng	hoành hành, lan tràn
行	刊行	かんこう	n	publication; issue	6218	san hàng	xuất bản, phát hành
高	円高	えんだか	n	appreciation of the yen; strong yen	5181	? cao	đồng yên tăng giá
高	可能性が高い	かのうせいがたかい	exp	very likely; very probable	5539	khả năng tính cao	khả năng cao
高	甲高い	かんだかい	adj-i	high-pitched; shrill	8604	giáp cao	the thé, chói tai
高	高い	たかい	adj-i	high; tall	8729	cao	cao, đắt
高	高さ	たかさ	n	height; altitude; elevation; level	8730	cao	chiều cao, độ cao
高	高まる	たかまる	v5r	to rise; to swell; to be promoted	8731	cao	dâng lên, tăng lên
高	高める	たかめる	v1	to raise; to lift; to boost; to enhance	8732	cao	nâng cao
高	高圧	こうあつ	n	high voltage; high pressure	8733	cao ?	cao áp, áp lực cao
国	アメリカ合衆国	アメリカがっしゅうこく	n	United States of America	4539	hợp ? ?	Hợp chủng quốc Hoa Kỳ
国	愛国	あいこく	n	love of one's country; patriotism	4552	? ?	yêu nước, ái quốc
国	異国	いこく	n	foreign country	4716	? ?	nước ngoài, dị quốc
国	一国	いっこく	n	one country	4848	nhất ?	một nước
国	英国	えいこく	n	United Kingdom; Britain; Great Britain	5145	anh ?	nước Anh
国	王国	おうこく	n	kingdom; monarchy	5333	vương ?	vương quốc
国	開発途上国	かいはつとじょうこく	n	developing country	5936	khai ? đồ thượng ?	nước đang phát triển
国	外国	がいこく	n	foreign country	5966	ngoại ?	nước ngoài
今	古今	ここん	n	ancient and modern times; all ages; past and present	8122	cổ kim	xưa nay, cổ kim
今	今	いま	n	now; the present time; just now; soon; immediately	8926	kim	bây giờ
今	今に	いまに	adv	before long; even now	8927	kim	chẳng bao lâu nữa
今	今にも	いまにも	adv	at any moment (now); at any minute; on the verge of (doing); just about to	8928	kim	sắp, sắp sửa
今	今や	いまや	adv	now (esp. in contrast to the past); now at last; at present; right now	8929	kim	giờ đây
今	今一	いまいち	adv	not quite (right); not very good; somewhat (lacking)	8930	kim nhất	chưa đạt, hơi thiếu
今	今夏	こんか	n	this summer; next summer; last summer	8931	kim ?	mùa hè này
今	今回	こんかい	n	this time; now	8932	kim hồi	lần này
左	右往左往	うおうさおう	n	moving about in confusion; going every which way; going this way and that	5050	hữu vãng tả vãng	chạy loạn xạ, lúng túng
左	左	ひだり	n	left; left-hand side	8997	tả	bên trái
左	左右	さゆう	n	left and right; right and left	8998	tả hữu	trái phải
左	左記	さき	n	undermentioned (statement); the following; at left	8999	tả kí	như trên (trong văn bản)
左	左手	ひだりて	n	left hand	9000	tả thủ	tay trái
左	左上	ひだりうえ	n	upper left	9001	tả thượng	góc trên trái
左	左折	させつ	n	turning to the left; left turn	9002	tả chiết	rẽ trái
左	左遷	させん	n	demotion; relegation; reduction in rank; degradation; downward move	9003	tả thiên	giáng chức
三	五十三次	ごじゅうさんつぎ	n	fifty-three stations on the Tōkaidō (Edo-Kyoto highway in Edo-period Japan)	8211	ngũ thập tam thứ	53 trạm dịch (Tokaido)
三	再三	さいさん	adv	again and again; repeatedly	9074	tái tam	nhiều lần, lặp đi lặp lại
三	三つ	みっつ	num	three	9301	tam	ba (cái)
三	三回	さんかい	n	three times	9302	tam hồi	ba lần
三	三角	さんかく	n	triangle; triangular shape	9303	tam góc	hình tam giác
三	三月	さんがつ	n	March	9304	tam nguyệt	tháng Ba
三	三権	さんけん	n	the three powers of government (legislative, executive and judicial)	9305	tam ?	tam quyền
三	三時	さんじ	n	3 o'clock	9306	tam thì	3 giờ
山	奥山	おくやま	n	remote mountain; mountain recesses	5277	? sơn	núi sâu, núi xa
山	下山	げざん	n	descending a mountain; descent	5424	hạ sơn	xuống núi
山	火山	かざん	n	volcano	5623	hoả sơn	núi lửa
山	火山灰	かざんばい	n	volcanic ash	5624	hoả sơn hôi	tro núi lửa
山	岩山	いわやま	n	rocky mountain	6479	nham sơn	núi đá
山	鉱山	こうざん	n	mine (ore)	8709	? sơn	mỏ (khoáng sản)
山	高山	こうざん	n	high mountain; alpine mountain	8750	cao sơn	núi cao
山	山	やま	n	mountain; hill	9350	sơn	núi
四	四つ	よっつ	num	four; 4	9489	tứ	bốn (cái)
四	四つ角	よつかど	n	four corners	9490	tứ góc	ngã tư
四	四角	しかく	adj-na	quadrilateral; square	9491	tứ góc	hình vuông, tứ giác
四	四角い	しかくい	adj-i	square; rectangular	9492	tứ góc	vuông, hình vuông
四	四季	しき	n	the four seasons	9493	tứ quí	bốn mùa
四	四球	しきゅう	n	base on balls; walk; pass	9494	tứ cầu	đi bộ (bóng chày)
四	四隅	よすみ	n	four corners	9495	tứ ?	bốn góc
四	四月	しがつ	n	April	9496	tứ nguyệt	tháng Tư
子	お菓子	おかし	n	confections; sweets; candy; cake	49	? tí	bánh kẹo
子	お子様	おこさま	n	(another's) child	64	tí ?	con (của người khác)
子	ドラ息子	どらむすこ	n	lazy son; profligate son	2597	tức tí	đứa con hư hỏng
子	椅子	いす	n	chair; seat; stool; bench	4702	? tí	ghế
子	遺伝子	いでんし	n	gene	4777	di ? tí	gene, di truyền
子	一人息子	ひとりむすこ	n	only son	4876	nhất nhân tức tí	con trai một
子	因子	いんし	n	factor	5003	nhân tí	nhân tố, yếu tố
子	王子	おうじ	n	prince	5335	vương tí	hoàng tử
時	ひと時	ひととき	n	a (short) time; a while; moment	4853	thì	một lát, chốc lát
時	一時間	いちじかん	n	one hour	4854	nhất thì gian	một giờ đồng hồ
